Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2015-01-02,107.45350646972656,109.79390765725282,106.67336021009403,108.80847491879665,614377
2015-01-05,104.33296966552734,108.27471355190465,104.08660832316781,106.79655802820587,1053659
2015-01-06,103.1422348022461,104.74357104791096,103.06011644059826,104.37402902265165,896487
2015-01-07,103.22432708740234,103.5938690193081,101.41769852662246,103.30645169353328,1349578
2015-01-08,106.46806335449219,106.7965492942604,103.75812013630562,104.70249685114601,1155174
2015-01-09,104.86673736572266,107.24821352634865,104.3740209686268,106.22171842188688,976809
2015-01-12,108.35679626464844,108.72633191275852,105.31837394730832,105.52367292186447,1374599
2015-01-13,109.17802429199219,109.6296846750222,107.20715856844491,107.49456969913044,1018643
2015-01-14,108.97272491455078,110.16345680755425,107.4945693613064,107.98729205587408,1461113
2015-01-15,110.90251922607422,111.18993029981823,106.18064235721157,109.87602425458235,2274019
2015-01-16,110.20450592041016,110.90252756569677,109.01377417003043,110.20450592041016,1363101
2015-01-19,110.20450592041016,110.94358987373549,109.17801087172813,110.49192954622397,911823
2015-01-20,112.09323120117188,112.09323120117188,109.58858140450545,110.20447827923715,1083427
2015-01-21,112.83232879638672,113.2018770319157,111.64159706650703,112.50385539864644,1393974
2015-01-22,113.201904296875,113.89991356780459,111.7237485901124,112.54494481270717,1347411
2015-01-23,116.48663330078125,117.67736474617774,113.44819871055404,114.14622017705574,1737416
2015-01-26,118.78600311279297,118.868127729625,115.87076717211443,116.11711596169603,1142528
2015-01-27,119.15557098388672,119.64828117466021,117.63635303546832,118.90920962327031,1240314
2015-01-28,119.23768615722656,119.89464562565082,118.33437785229539,119.85358330941312,1152668
2015-01-29,118.82707214355469,119.27873250076796,117.22574226839673,118.45753640781946,1409192
2015-01-30,117.84162902832031,119.8946190810785,117.18466970534631,119.27872206525105,1181039
2015-02-02,117.6773681640625,119.8945944596222,117.10253357342916,118.62173838221344,1148343
2015-02-03,118.662841796875,119.0734398653763,116.44561473305973,117.67740893856362,1190779
2015-02-04,128.31185913085938,128.47609580445587,124.41117861328124,124.57541528687774,3129281
2015-02-05,126.05358123779297,127.65491087120466,125.4376842610611,127.03901389447279,1813581
2015-02-06,125.47879028320312,126.464223283214,125.23242890058529,125.60196470928182,1021962
2015-02-09,123.67211151123047,125.06814207982984,123.0151522641086,124.41118283270795,1202242
2015-02-10,128.22976684570312,128.22976684570312,124.32908534506296,124.53438437141244,1439082
2015-02-11,128.55828857421875,129.4205472308798,127.28543175062022,127.69602991755771,906617
2015-02-12,130.69334411621094,131.3503034510973,128.68141633411784,128.92777765100737,1474893
2015-02-13,130.15956115722656,131.3913551113959,129.790025477067,130.8575827434383,862611
2015-02-16,128.8866729736328,129.87210538678826,128.35290073788906,129.7078687396712,702173
2015-02-17,129.42050170898438,129.54367610355607,127.12115027680763,128.84565445309727,676920
2015-02-18,130.36488342285156,130.44700804663984,129.1741515606715,129.83111095960274,576207
2015-02-19,132.04827880859375,132.0893411020918,129.2972680401105,129.8721025577249,687559
2015-02-20,132.21255493164062,132.21255493164062,130.4059262523306,131.76089462919902,1010041
2015-02-23,132.41786193847656,133.4032946840203,131.63772820369016,133.11588358723435,654545
2015-02-24,132.37680053710938,132.95163526507648,131.26819338969938,132.91058548700954,612916
2015-02-25,132.70530700683594,132.8284814210087,131.6788117871991,131.88411083112646,575695
2015-02-26,132.99269104003906,133.28011465513094,132.17149503172706,132.95162873353212,748534
